start,end,count,path
Jerry Holkins,Jade dragonnel,4,Jerry Holkins -> Acquisitions Incorporated (sourcebook) -> Brass dragon -> Dragonnel -> Jade dragonnel
Rahannsoz Burihildar,Gauntlets of dexterity,3,Rahannsoz Burihildar -> Waterdeep -> AD&D Trading Cards -> Gauntlets of dexterity
Ancient Ones,Gharreil,4,Ancient Ones -> 1362 DR -> 1366 DR -> Great Glacier -> Gharreil
Que Nhon,Circle of Aged Masters,-1,NOT FOUND
Demipower,Anaconda (organization),4,Demipower -> Demigod -> Dungeon Master's Guide 5th edition -> Bracers of defense -> Anaconda (organization)
Alex Lenter's Storage,Wu Pi Te Shao Mountains,3,Alex Lenter's Storage -> Eric L. Boyd -> Faiths & Avatars -> Wu Pi Te Shao Mountains
Machairi,Lonelywood,3,Machairi -> Cormanthor -> Silvanus -> Lonelywood
Flashburst,Northeast Zakhara,3,Flashburst -> Evocation -> Zakhara -> Northeast Zakhara
Hoktant chaka,Blaskyn,4,Hoktant chaka -> Estagund -> 1372 DR -> Elminster in Hell -> Blaskyn
Khanduq,The Moonsea War,-1,NOT FOUND
Jug,Samanthiss,3,Jug -> Bottle -> Before Its Time -> Samanthiss
Aubrin Crownsilver,Call lightning,3,Aubrin Crownsilver -> 1479 Dr -> Catti-Brie -> Call lightning
Enclave of Red Magic,Cantus,3,Enclave of Red Magic -> Shradin Mulophor -> Sargauth Enclave -> Cantus
Kurudo,Adreim,4,Kurudo -> Dragon magazine 157 -> Ed Greenwood -> The Temptation of Elminster -> Adreim
Endurance,Sun dragon,3,Endurance -> Oriental Adventures -> Chiang lung -> Sun dragon
Rock of Battle,Blessed Sword of Tyr,4,Rock of Battle -> Clangeddin Silverbeard -> Descent to Undermountain -> Warriors of Waterdeep -> Blessed Sword of Tyr
Hitoshi Jade,Dawndancer House,3,Hitoshi Jade -> Baldur's Gate -> Silverymoon -> Dawndancer House
Verenestra,Quick vine,4,Verenestra -> Druid -> Archmage -> Polyhedron 125 -> Quick vine
Deafness,Nil,5,Deafness -> Blindness or deafness -> 1360 DR -> Red Dragon -> Dungeons & Dragons Online: Shadowfell Conspiracy -> Nil
Sky Pony,Order of the Red Falcon,3,Sky Pony -> Sky Pony Tribe -> Powers & Pantheons -> Order of the Red Falcon
Dimensional warper,Kepeshkmolik Thymara,3,Dimensional warper -> For Duty & Deity -> Selûne -> Kepeshkmolik Thymara
Initiate of Kossuth,Hoard (demiplane),-1,NOT FOUND
Nexlit,Arachnophobia,4,Nexlit -> 1368 DR -> Empires of the Shining Sea -> Neogi -> Arachnophobia
Tuigan,Alfheim,3,Tuigan -> Aasimar -> Aerdrie Faenya -> Alfheim
Viconia's Walking Fortress,Sirak Mazelor,3,Viconia's Walking Fortress -> Baldur's Gate III -> Out of the Abyss -> Sirak Mazelor
